iter	Passed	Remaining
401	12225	18185
402	12252	18150
403	12279	18115
404	12305	18078
405	12331	18041
406	12358	18006
407	12389	17976
408	12422	17950
409	12456	17924
410	12483	17889
411	12510	17854
412	12534	17815
413	12562	17781
414	12590	17747
415	12625	17724
416	12659	17699
417	12688	17667
418	12720	17638
419	12751	17609
420	12787	17586
421	12819	17558
422	12855	17535
423	12886	17505
424	12918	17477
425	12947	17446
426	12980	17418
427	13017	17397
428	13044	17362
429	13073	17330
430	13103	17299
431	13128	17261
432	13160	17233
433	13188	17200
434	13215	17165
435	13246	17135
436	13274	17102
437	13303	17069
438	13337	17044
439	13371	17018
440	13406	16993
441	13437	16963
442	13464	16929
443	13492	16895
444	13521	16863
445	13553	16835
446	13583	16805
447	13617	16779
448	13652	16753
449	13682	16723
450	13716	16696
451	13745	16664
452	13777	16636
453	13808	16606
454	13842	16580
455	13874	16552
456	13906	16523
457	13938	16495
458	13968	16463
459	14002	16437
460	14037	16412
461	14074	16389
462	14108	16362
463	14146	16341
464	14178	16313
465	14208	16282
466	14240	16252
467	14269	16221
468	14299	16190
469	14329	16159
470	14366	16135
471	14399	16107
472	14442	16091
473	14480	16069
474	14513	16040
475	14543	16010
476	14574	15980
477	14603	15947
478	14630	15913
479	14657	15879
480	14682	15842
481	14712	15811
482	14740	15778
483	14772	15749
484	14803	15719
485	14838	15693
486	14869	15663
487	14902	15635
488	14932	15604
489	14960	15570
490	14991	15540
491	15022	15511
492	15050	15477
493	15083	15449
494	15112	15418
495	15140	15384
496	15168	15351
497	15196	15318
498	15225	15286
499	15263	15263
500	15291	15230
501	15321	15199
502	15355	15172
503	15388	15144
504	15419	15114
505	15451	15085
506	15481	15053
507	15508	15020
508	15534	14985
509	15562	14952
510	15589	14917
511	15621	14889
512	15649	14856
513	15681	14827
514	15705	14790
515	15730	14755
516	15758	14722
517	15786	14689
518	15819	14661
519	15851	14631
520	15879	14599
521	15911	14570
522	15942	14540
523	15974	14510
524	16006	14481
525	16038	14453
526	16066	14420
527	16093	14387
528	16126	14357
529	16153	14324
530	16181	14291
531	16207	14257
532	16236	14225
533	16268	14197
534	16296	14164
535	16324	14131
536	16350	14097
537	16382	14067
538	16409	14034
539	16444	14008
540	16475	13978
541	16509	13950
542	16542	13922
543	16571	13891
544	16610	13867
545	16651	13845
546	16690	13822
547	16745	13811
548	16796	13798
549	16838	13777
550	16869	13746
551	16905	13720
552	16938	13691
553	16970	13662
554	17002	13632
555	17031	13600
556	17058	13567
557	17089	13536
558	17118	13504
559	17154	13478
560	17189	13451
561	17224	13424
562	17258	13396
563	17304	13377
564	17340	13350
565	17372	13321
566	17413	13297
567	17468	13285
568	17516	13267
569	17553	13242
570	17585	13212
571	17619	13183
572	17657	13158
573	17692	13130
574	17721	13098
575	17754	13069
576	17782	13036
577	17812	13004
578	17843	12974
579	17878	12946
580	17912	12917
581	17945	12888
582	17981	12861
583	18011	12830
584	18038	12796
585	18070	12766
586	18101	12735
587	18127	12701
588	18158	12670
589	18183	12635
590	18210	12602
591	18236	12568
592	18264	12535
593	18295	12504
594	18324	12472
595	18355	12442
596	18384	12410
597	18416	12380
598	18444	12347
599	18475	12316
600	18507	12287
601	18534	12253
602	18561	12220
603	18587	12186
604	18622	12158
605	18651	12126
606	18678	12093
607	18709	12062
608	18737	12030
609	18766	11998
610	18793	11964
611	18822	11933
612	18848	11899
613	18877	11867
614	18906	11835
615	18937	11805
616	18966	11773
617	18997	11742
618	19026	11710
619	19054	11678
620	19088	11649
621	19119	11618
622	19158	11593
623	19183	11559
624	19212	11527
625	19238	11494
626	19268	11462
627	19301	11433
628	19331	11402
629	19362	11371
630	19388	11338
631	19423	11309
632	19450	11277
633	19482	11246
634	19510	11214
635	19538	11182
636	19569	11151
637	19598	11120
638	19627	11088
639	19654	11055
640	19678	11021
641	19709	10990
642	19740	10960
643	19770	10928
644	19802	10899
645	19831	10867
646	19858	10834
647	19890	10804
648	19920	10773
649	19947	10741
650	19978	10710
651	20009	10679
652	20036	10647
653	20070	10618
654	20098	10586
655	20130	10556
656	20159	10524
657	20187	10492
658	20215	10460
659	20246	10429
660	20278	10399
661	20304	10366
662	20329	10333
663	20362	10303
664	20389	10271
665	20420	10240
666	20443	10206
667	20469	10173
668	20496	10141
669	20530	10111
670	20557	10079
671	20582	10046
672	20608	10013
673	20638	9982
674	20665	9949
675	20695	9919
676	20722	9886
677	20751	9855
678	20776	9822
679	20806	9791
680	20836	9760
681	20867	9730
682	20899	9699
683	20928	9668
684	20959	9638
685	20986	9606
686	21019	9576
687	21054	9548
688	21082	9516
689	21114	9486
690	21139	9452
691	21168	9421
692	21196	9390
693	21222	9357
694	21252	9326
695	21280	9294
696	21310	9264
697	21345	9235
698	21378	9205
699	21409	9175
700	21435	9142
701	21465	9112
702	21497	9082
703	21527	9051
704	21553	9018
705	21582	8987
706	21615	8957
707	21642	8925
708	21668	8893
709	21698	8862
710	21731	8833
711	21762	8802
712	21790	8771
713	21820	8740
714	21855	8711
715	21891	8683
716	21933	8657
717	21970	8629
718	22015	8604
719	22049	8574
720	22082	8545
721	22117	8516
722	22152	8487
723	22187	8458
724	22225	8430
725	22262	8401
726	22293	8371
727	22333	8344
728	22370	8316
729	22405	8286
730	22434	8255
731	22464	8224
732	22491	8192
733	22521	8161
734	22541	8127
735	22567	8095
736	22596	8063
737	22628	8033
738	22656	8001
739	22688	7971
740	22714	7939
741	22742	7907
742	22771	7876
743	22802	7845
744	22839	7817
745	22868	7786
746	22896	7754
747	22930	7725
748	22965	7695
749	23006	7668
750	23041	7639
751	23071	7608
752	23104	7578
753	23131	7546
754	23161	7516
755	23195	7486
756	23225	7455
757	23254	7424
758	23291	7395
759	23326	7366
760	23365	7338
761	23403	7309
762	23433	7278
763	23469	7249
764	23502	7219
765	23535	7189
766	23565	7158
767	23599	7128
768	23636	7100
769	23664	7068
770	23697	7038
771	23729	7008
772	23757	6976
773	23786	6945
774	23820	6915
775	23847	6883
776	23877	6852
777	23906	6821
778	23936	6790
779	23967	6759
780	23993	6728
781	24021	6696
782	24051	6665
783	24087	6636
784	24115	6605
